character,series,wishlist
Nathalie Woodward,Eiga Daisuki Pompo-san,2
Tifana von Ribelt,The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,2
Finnish Reindeer,Food Fantasy,2
LICO,BLACKSTAR -Theater Starless-,1
Hal,Sugar Apple Fairy Tale Part 2,1
Robin Inazaki,Heavenly Delusion,1
Tentacle Doshi,Hell's Paradise: Jigokuraku,1
Clayface,Suicide Squad Isekai,2
Gundam Mk-II,Mobile Suit Zeta Gundam,2
(2)YOU,Dear Vocalist,3
Shino,Mahoutsukai no Yakusoku,3
Ayane,Dead or Alive,3
Animalia,Shangri-La Frontier,5
White,Mahoutsukai no Yakusoku,3
Starlia Lese,Ragna Crimson,9
Lilya,Reverse: 1999,8
Marcille,Dungeon Meshi,378
Shichika Yasuri,Katanagatari,19
Sonetto,Reverse: 1999,26
Sho Kusakabe,Fire Force,44
Mao,Classroom for Heroes,22
Yuuko Kanoe,Dusk Maiden of Amnesia,44
Alice Thymefield,Zenless Zone Zero,114
Souei,That Time I Got Reincarnated as a Slime,31
Aranea Highwind,Final Fantasy XV,9
Hakarl,Food Fantasy,1
Maine,Cyberpunk: Edgerunners,63
Pilar,Cyberpunk: Edgerunners,11
Yuno Gasai,Future Diary,399
Hibana,Fire Force,144
Rebecca,Cyberpunk: Edgerunners,699
Miia,Monster Musume no Iru Nichijou,115
Orphie Magnusson,Zenless Zone Zero,62
Kusuo Saiki,The Disastrous Life of Saiki K.,456
Mizore Shirayuki,Rosario + Vampire,43
Anton Ivanov,Zenless Zone Zero,18
Gorgon,Fate/Grand Order,10
Hodaka Morishima,Weathering with You,20
Ikuyo Kita,Bocchi the Rock!,279
Mahiru Shiina,The Angel Next Door Spoils Me Rotten,460
Rei Miyamoto,Highschool of the Dead,27
Prompto Argentum,Final Fantasy XV,48
Herrscher of Thunder,Honkai Impact 3rd,118
Kyogre,Pokémon Advanced,21
Galilea,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,1
Kaede Takagaki,The iDOLM@STER: Cinderella Girls,15
Tentacool,Pokémon Origins,1
Rinka Hayami,Assassination Classroom,1
Nagisa Shiota,Assassination Classroom,210
Tadaomi Karasuma,Assassination Classroom,13
Kazutaka Shindou,Assassination Classroom,1
Aguri Yukimura,Assassination Classroom,1
Mayor Ninamori's Secretary,FLCL,1
Mashiro Shiina,The Pet Girl of Sakurasou,229
Slowking,Pokémon: The Power of One,3
Sonia,Pokémon: Twilight Wings,6
Bede,Pokémon: Twilight Wings,6
Bulbasaurtwo,Pokémon: The Origin of Mewtwo,2
Entei,Pokémon: Spell of the Unown,5
Lunatone,Pokémon: Meloetta's Moonlight Serenade,1
Typhlosion,Pokémon: The Legend of Thunder!,9
Buneary,Pokémon XY & Z,1
Hoopa Unbound,Pokémon XY,4
Sylphiette,Mushoku Tensei: Jobless Reincarnation,253
Spike Spiegel,Cowboy Bebop,373
Emma Sano,Tokyo Revengers,38
Hirotaka Nifuji,Wotakoi: Love is Hard for Otaku,63
Allon,Bleach,1
Lum,Urusei Yatsura,78
Ellie Evergreen,"Please Put Them On, Takamine-san!",3
Hana-chan,My Deer Friend Nokotan,2
APPLe,Reverse: 1999,8
Ouko Yushima,Bleach,1
Kinoko Komori,My Hero Academia 2,11
Nui Harime,Kill La Kill,12
Edward,Cowboy Bebop,45
Luke Pearce,Tears of Themis,63
Ayano Tateyama,Mekakucity Actors,21
Kiyone Kotetsu,Bleach,0
Karma Akabane,Assassination Classroom,230
Mai,Senran Kagura: New Wave,2
Sento-kun,My Deer Friend Nokotan,0
Go Myung-Hwan,Solo Leveling,1
Jugram Haschwalth,Bleach: Sennen Kessen-hen,43
Red,Pokémon Origins,14
Aang,Avatar: The Last Airbender,404
Ichika Orimura,Infinite Stratos Encore: A Sextet Yearns to Be in Love,1
Zero,Tower of Fantasy,5
Lu Wutang,Sakamoto Days,2
Kamisaki Hikaru,Medalist,22
Shu Ujigawa,ARGONAVIS from BanG Dream!,1
Keiko Uehara,16bit Sensation: Another Layer,2
Rika,Mystic Messenger,8
Feuille Sheets,Sweet Reincarnation,1
Ray,The Promised Neverland,108
Shuuhei Hisagi,Bleach,22
Mavuika,Genshin Impact,247
Fran,Wandering Witch: The Journey of Elaina,6
Roserade,Pokémon: Diamond & Pearl,1
Cayna,In the Land of Leadale,21
Vicious,Cowboy Bebop,13
Rei Kagura,The iDOLM@STER SideM,1
Senna,Bleach Movie 1: Memories of Nobody,3
Shukuro Tsukishima,Bleach,5
Maya Amano,Persona 2: Innocent Sin,7
Hoothoot,Pokémon,1
Dragonite,Pokémon,9
Reiko Takahashi,The iDOLM@STER: Cinderella Girls,1
Tobio Kageyama,Haikyuu!!,397
Inoue Takina,Lycoris Recoil,362
Irina Luminesk,Tsuki to Laika to Nosferatu,36
Arlecchino,Genshin Impact,1034
Sana Miyoshi,The iDOLM@STER: Cinderella Girls Second Series,1
Gaap,Umineko: When They Cry,1
Io Euclase,Granblue Fantasy the Animation,3
Shouko Nishimiya,A Silent Voice,423
Keiichirou Miyanoshita,Ghost Stories,6
Kouta's Pompompurin,Sanrio Boys,35
Mai,Avatar: The Last Airbender,33
Keiichi Akemi,Yarichin Bitch-bu,6
Kujou Sara,Genshin Impact,68
Grimoire,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,12
Brevey,Tower of Fantasy,2
Futaba Igarashi,My Senpai is Annoying,52
Nicholas D. Wolfwood,Trigun,102
Yashiro Isana,K-Project,22
Boiled,Sakamoto Days,3
Cell,Dragon Ball Z,82
Hiromi Higa,SK8 the Infinity,5
Satsuki,Reverse: 1999,2
Yankeeras,Aharen-san wa Hakarenai,0
Aimu,Senran Kagura: New Wave G Burst,1
Hipelis,Mobile Suit Gundam: The Witch from Mercury Season 2,1
Moca Aoba,BanG Dream!,20
G-Sky,Mobile Suit Gundam,1
Ui Hirasawa,K-On!,13
Kishido Temma,Holostars,6
Xiaohei,Kowloon Generic Romance,8
Sasaki Shuumei,Sasaki and Miyano,154
Fumi Yumeoji,Revue Starlight Re LIVE,1
Vira Lillie,Granblue Fantasy the Animation Season 2,8
Shizuma Kiryu,Jewelry Hearts Academia -We will wing wonder world-,1
Sigewinne,Genshin Impact,62
Rose,Kowloon Generic Romance,1
Kuki Shinobu,Genshin Impact,103
Kouga Kuchiki,Bleach,1
Konami Amanatsu,Makeine: Too Many Losing Heroines!,1
Lumine,Genshin Impact,136
Sasha Necron,Maou Gakuin no Futekigousha,28
Aki,Neural Cloud,28
Emul,Shangri-La Frontier,73
Son Hee,Sakamoto Days,1
Diavolo,Obey Me!,24
Eunseok,Solo Leveling,0
Aoi Shuto,The iDOLM@STER: Cinderella Girls,1
Tokime,Fuuto PI,22
Aliceliese Lou Nebulis IX,Our Last Crusade or the Rise of a New World,25
Noa Fukushima,D4DJ First Mix,9
Fumi-chan,Getsuyoubi no Tawawa,1
Yang Xiao Long,RWBY,75
Takemichi Hanagaki,Tokyo Revengers,161
Sajuna Inui,My Dress-Up Darling,129
Torres,An Archdemon's Dilemma: How to Love Your Elf Bride,4
Shirou Ogami,Brand New Animal,60
Ein,Cowboy Bebop,51
Yukana Yame,My First Girlfriend is a Gal,18
Serena's Eevee,Pokémon XY,17
Sheila Tuel Metallicana,Bastard!!,3
Reg,Made in Abyss,74
Mimosa Vermillion,Black Clover,31
Olivier Mira Armstrong,Fullmetal Alchemist: Brotherhood,32
HARU,ARGONAVIS from BanG Dream!,3
Bernkastel,Umineko: When They Cry,33
Nagisa Kubo,Kubo Won't Let Me Be Invisible,77
Yuki Takeya,School-Live!,19
Choujirou Sasakibe,Bleach,2
La Source,Reverse: 1999,1
Ducky,Orenchi no Furo Jijou,7
Lance,Pokémon,1
Mitsumi Iwakura,Skip and Loafer,92
Neco-Arc,Tsukihime,121
Haineko,Bleach,2
Zenitsu Agatsuma,Demon Slayer: Kimetsu no Yaiba,1405
Marie,The Witch and the Beast,0
Yuriko Takagi,Highschool of the Dead,3
Julia,Cowboy Bebop,4
Luppi Antenor,Bleach,1
Sojiro Kusaka,Bleach Movie 2: The DiamondDust Rebellion,1
Cirucci Sanderwicci,Bleach,2
Bawabawa,Bleach,1
Tetsuzaemon Iba,Bleach,2
Ashido Kanou,Bleach,1
Hebi,Bleach,1
White,Bleach,1
Ggio Vega,Bleach,3
Yang,Bleach Movie 2: The DiamondDust Rebellion,1
Tatsuki Arisawa,Bleach,3
Hiyori Sarugaki,Bleach,5
Mera Hiuchigashima,Bleach: Sennen Kessen-hen,1
Nianzol Weizol,Bleach: Sennen Kessen-hen,1
Abirama Redder,Bleach,0
Adam Smasher,Cyberpunk: Edgerunners,61
Gloria Martinez,Cyberpunk: Edgerunners,12
Tyger Claws Member A,Cyberpunk: Edgerunners,1
Wakuraba,Demon Slayer: Kimetsu no Yaiba,1
Tornadus,Pokémon: Black & White,1
Myung-chul,Solo Leveling,1
Tatenashi Sarashiki,Infinite Stratos 2,2
Anime Girl,Infinite Stratos 2,1
Kaoruko Mayuzumi,Infinite Stratos 2,1
Chelsea Blankett,Infinite Stratos 2,1
Hatsuharu Sohma,Fruits Basket,38
Chome,One Piece,1
Kayo Hinazuki,ERASED,43
Emu Otori,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,210
Mio Naruse,The Testament of Sister New Devil,127
Zen Wisteria,Snow White with the Red Hair,42
Shishiro Botan,Hololive: Holo no Graffiti,80
Eva Cristella,Metallic Rouge,0
Peltrola,Go! Go! Loser Ranger!,0
King Schniel,Epic Seven,2
Beast Monarch,Solo Leveling,4
Luciana de Montefio,Zenless Zone Zero,39
Kyber Crystal,Star Wars: Visions,2
Red Hood,Batman Ninja,32
Sheeta,Laputa: Castle in the Sky,16
Papi,Monster Musume no Iru Nichijou,26
Shizune Takatsuki,Infinite Stratos 2,0
Ryousuke Takahashi,Initial D,22
Akito Yamada,My Love Story with Yamada-kun at Lv999,208
Hotaru Shidare,Dagashi Kashi,10
Femto,Berserk,27
Rachel,Tower of God,13
Ling Wang,The Daily Life of the Immortal King,61
Jinbei,One Piece,205
Ryou Ikaruga,Kaiju No. 8,1
Aika S. Granzchesta,Aria the Animation,3
Haru Yoshida,My Little Monster OVA,30
Reina,Fire Emblem Fates,1
Azula,Avatar: The Last Airbender,254
Tohru Adachi,Persona 4 the Animation,33
Satanichia Kurumizawa McDowell,Gabriel Dropout,27
Litka Mofur,Log Horizon: Destruction of the Round Table,1
Izumi Yoshiki,A Sign of Affection,1
Gyutaro,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,132
Rio Kikyo,ARGONAVIS from BanG Dream!,1
Sachi Umino,A Couple of Cuckoos,12
Monica Elshett,Final Fantasy XV,0
Verstael Besithia,Final Fantasy XV,1
Levy McGarden,Fairy Tail,29
Brandish Myu,Fairy Tail Movie 2: Dragon Cry,7
Mikan Yuuki,To Love Ru,13
Tanya Degurechaff,Youjo Senki: Saga of Tanya the Evil,221
Narberal Gamma,Overlord,83
Shirayuki,Snow White with the Red Hair,64
Sousuke Shima,Skip and Loafer,82
Fuyume Hanamura,Ensemble Stars!!,14
Barbatos,An Archdemon's Dilemma: How to Love Your Elf Bride,5
Ebisu,Dorohedoro,33
Houki Shinonono,Infinite Stratos Encore: A Sextet Yearns to Be in Love,3
Hwoarang,Tekken 3,15
Fairy Knight Lancelot,Fate/Grand Order,32
Kaiman,Dorohedoro,66
Yukiteru Amano,Future Diary,27
Godot,Ace Attorney Season 2,15
Pazuzu,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,0
Stain,My Hero Academia 2,16
Faputa,Made in Abyss: The Golden City of the Scorching Sun,110
Kotaro Sato,Kotaro Lives Alone,79
Emi Ibarazaki,Katawa Shoujo,13
Midori Kohakobe,Call of the Night,11
Kurisu Makise,Steins;Gate,554
Ume Kurumizawa,Kimi ni Todoke - From Me to You,3
Yami,To Love Ru,49
Feng Xin,Tian Guan Ci Fu,9
Natsu Dragneel,Fairy Tail,466
Hayase Nagatoro,"Don't Toy with Me, Miss Nagatoro",556
Akane Kinoshita,My Love Story with Yamada-kun at Lv999,169
Yor Forger,Spy x Family,2148
Sally,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",36
Elsie,D4DJ All Mix,2
Shinra Kusakabe,Fire Force,344
Douma,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,308
Chizuru Mizuhara,"Kanojo, Okarishimasu",398
Toph Beifong,Avatar: The Last Airbender,425
Dokuro Mitsukai,Bludgeoning Angel Dokuro-chan,14
Shou,"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",1
Arataka Reigen,Mob Psycho 100,381
Rui,K-On! Live House!,1
Koharu Yanagi,Revue Starlight Re LIVE,1
Alina,Girls und Panzer,2
Zero Kiryu,Vampire Knight,113
Kanao Tsuyuri,Demon Slayer: Kimetsu no Yaiba,241
Yu Mira,The God of High School,24
Xiaohei,Kowloon Generic Romance,1
Galan Ys Meigis,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,0
Xu Ying,The Daily Life of the Immortal King,1
Un,Show by Rock!!,1
Hajime Sakaguchi,Please Save My Earth,0
Jack Baker,Resident Evil 7: Biohazard,6
Kogara Toto,Virtual eSports Project,6
Mikitii,Kaguya-sama: Love Is War,1
Koromaru,Persona 3 the Movie 2: Midsummer Knight's Dream,22
Ibara Shiozaki,My Hero Academia 2,1
Takumi Fujiwara,Initial D,106
Girl Mouse,Kiitaro's youkai picture diary,1
Naomi Kurusu,Future Diary,1
Akiha Vermillion,MELTY BLOOD,5
Yumeko Jabami,Kakegurui,930
Oh Jiyu,Nijisanji KR,1
Rosa,Pokémon Black Version 2 and White Version 2,7
Rinne Ohara,Island,3
Alzack Connell,Fairy Tail,1
Ringabel,Bravely Default,4
Gilles de Rais (Saber),Fate/Grand Order,1
Joseph,Record of Grancrest War,0
Yoshimi Sunahara,K-On!!,1
Rin Tsukishima,Strike the Blood,0
Dracunyan,Yo-kai Watch,4
Nicole Nanasaki,Tokyo 7th Sisters: Seventh Haven,1
Natsume,DECA-DENCE,2
Mahiru Hiiragi,Seraph of the End: Battle in Nagoya,10
Mirai Sugita,ERASED,1
Young Elizabeth,The Seven Deadly Sins: Wrath of the Gods,1
Anak Zahard Jr.,Tower of God,4
Pretty Nurse,RobiHachi,0
Yuko Yoshida,The Demon Girl Next Door,11
Nao Tsukinose,Stars Align,2
Mikiko Kashiwagi,Super Lovers,0
Yuuto Ijika,Twin Star Exorcists,1
Arzel,Dances with the Dragons,1
Christopher Giller,Zoids Wild Zero,0
Katsutoshi Nakazawa,Days,0
Shirley,Sword Art Online Alternative: Gun Gale Online,1
Lopunny,Pokémon: Diamond & Pearl,4
Kaori Kinoshita,Waiting in the Summer,0
Tetsuko Koku,Magical Witch Punie-chan,0
Orochi,One-Punch Man 2,1
Ms. Mori,Ms. vampire who lives in my neighborhood.,0
Totodile,Pokémon,9
Oscar,Lupin III: The Woman Called Fujiko Mine,1
Venom,Guilty Gear,3
Kyouko Tsumabuki,My-Otome 0 ~S.ifr~,0
Cosette,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,1
Naitou,Blue Spring Ride,1
Hana Kazamatsuri,GeGeGe no Kitarou: Nippon Bakuretsu!!,0
Robertina,Granblue Fantasy,0
Marika,Phantasy Star Online 2 the Animation,0
Bardwin Cicil Ifrikia,The World Is Still Beautiful,1
Sumida,Muromi-san,1
Ryu,House of Five Leaves,0
Black Sperm,One-Punch Man 2,19
Sora Ikeda,Stratos 4,0
Antoinette,"Humanoid, The",0
Bishoujo Party Member 2,Idol Incidents,1
Swalot,Pokémon Advanced,1
Harumi Kimihara,Otome wa Boku ni Koishiteru: Futari no Elder,1
Kenji Fujito,Smile Down the Runway,0
Cure Peace,Smile Precure!,15
Dalia Anjé,Zatch Bell!,1
Botasky,Cat Shit One,1
Kei,Star Smash,1
Archid Olter,Knight's & Magic,1
Erza Knightwalker,Fairy Tail,6
Weiss,Dirge of Cerberus: Final Fantasy VII,1
Paetta,Legend of the Galactic Heroes,0
Filip Zemann,Monster,1
Nine Seragaki,DRAMAtical Murder Re:Connect,1
Shuka,Cardfight!! Vanguard Gaiden: If,1
Nao's Camera,Charlotte,1
Kiredori,D.Gray-man Hallow,1
Yukari Tamura,Seiyuu's Life!,1
Kazejin,Yu-Gi-Oh! Duel Monsters,1
Claudine Saijou,Shoujo Kageki Revue Starlight,12
Ayakashi,Millennium Actress,0
Michiru,Ghost Hunt,0
Lala-Lulu,Love Stage!!,1
Tiffany Evergarden,Violet Evergarden,1
Eisenkleid (Orihime),Sakura Wars: Gouka Kenran,1
Iskahn,Sword Art Online: Alicization - War of Underworld,3
M.O.D.O.K.,Marvel Disk Wars: The Avengers,1
Otho von Braunschweig,Legend of the Galactic Heroes,0
Snow Lily,Servamp,6
Veight,Granblue Fantasy,1
Roman Torchwick,RWBY,5
Carmelina,Granblue Fantasy,2
Gorilla,Frieren: Beyond Journey's End,3
Build Strike Gundam Cosmos,Gundam Build Fighters,1
M24 Chaffee,Girls und Panzer,1
Goji,Pluto,1
Humanoid Type Noise,Symphogear,1
Gloxinia,The Seven Deadly Sins: Revival of the Commandments,5
Sophia Keren,"So I'm a Spider, So What?",7
Lowain,Granblue Fantasy,1
Kinue Hayase,Masamune-kun's Revenge,1
Johannes Kleemann,Devils' Line,3
Regis K. Landegre,Noblesse,1
Lyria,Granblue Fantasy the Animation,5
Shinobu Kawanishi,Girls und Panzer,1
Klara,Girls und Panzer,3
Rudy Gillen,Monster,1
Eris,Tsukimichi: Moonlit Fantasy,2
Matal Mogamett,Magi: The Kingdom of Magic,1
Anne de Noailles,The Rose of Versailles,1
Wiggins,Moriarty the Patriot,1
Kai Nakamura,The aquatope on white sand,1
Kichi Nezu,School Babysitters,1
Nanaly Fletcher,Tales of Destiny 2,1
Nikita,Yasuke,1
Younger Receptionist,Tsukimichi: Moonlit Fantasy,1
Falfa,I've Been Killing Slimes for 300 Years and Maxed Out My Level,7
Zooey,Granblue Fantasy,8
Wretched Rose,Epic Seven,1
Cassius,Granblue Fantasy,1
Madoka Narumi,Spiral: Bond of Reasoning,1
Solomon,Fate/Grand Order,2
Hyphen,Wonder Egg Priority,1
Maki Shijo,Kaguya-sama: Love Is War 2nd Season,4
Armor King II,Tekken 5: Dark Ressurection,10
Anji Yuukyuuzan,Rurouni Kenshin,1
Souta Shiki,"Play It Cool, Guys",1
Painter Robot,Pluto,1
Keiki Kiryu,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",1
Pholia,Granblue Fantasy,1
Ikoma,Kabaneri of the Iron Fortress,15
Ritsuko Akagi,Neon Genesis Evangelion,10
E92,Eden,1
Ryoji Kaji,Neon Genesis Evangelion,11
Anna,Granblue Fantasy,2
Yuika Koga,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",2
Kana,Tales of Link,1
Rum,Girls und Panzer das Finale,1
Saimon Shishido,Revenger,0
Kazuma Shinguji,Sakura Wars: Ouka Kenran,1
Elisha Elfrieden,How a Realist Hero Rebuilt the Kingdom,1
Zephyr,Tales of Arise,1
Rei Togetsu,D4DJ First Mix,4
Dola,Seirei Gensouki: Spirit Chronicles,0
Scheherazade,Magi: The Kingdom of Magic,3
Joshua,The World Ends with You,17
Kibayashi,Great Teacher Onizuka,0
Jade Curtis,Tales of the Abyss,2
Brock's Geodude,Pokémon,1
Miyu Sakurada,D4DJ First Mix,5
Akari Watanabe,"More than a Married Couple, but Not Lovers.",493
Riselia Ray Crystalia,The Demon Sword Master of Excalibur Academy,45
Tamaki Kotatsu,Fire Force,311
Ryuunosuke Akasaka,The Pet Girl of Sakurasou,5
Blue Phoenix,Scissor Seven,3
Bacho,Sakamoto Days,0
Rein Shroud,Beast Tamer,7
Elma,Ishuzoku Reviewers,2
Sayaka Miyata,Keijo!!!!!!!!,5
Nyotengu,Dead or Alive 5 Ultimate Arcade,17
Leticia Draculair,"Problem Children Are Coming from Another World, Aren't They?",6
Megumi Katou,Saekano: How to Raise a Boring Girlfriend,108
Kaguya Shinomiya,Kaguya-sama: Love Is War,798
Bell Cranel,Is It Wrong to Try to Pick Up Girls in a Dungeon?,137
Adam,Record of Ragnarok,178
Japan,Hetalia: Axis Powers,24
Rui Tachibana,Domestic Girlfriend,121
Akari Minase,Kaiju No. 8,1
Meme Oshino,Bakemonogatari,27
Rio,Seirei Gensouki: Spirit Chronicles,17
Clawdeen Wolf,Monster High: Kowai-ke Girls,23
Himuro,The Ice Guy and His Cool Female Colleague,37
Maru,Heavenly Delusion,45
Nasa Yuzaki,Tonikaku Kawaii,22
Junta Shiraishi,Kubo Won't Let Me Be Invisible,7
Park Ilpyo,The God of High School,15
Riho Tsukishima,The Café Terrace and Its Goddesses,19
Ren,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,16
Bridget,Guilty Gear,78
Vi,Arcane,518
Kaito,halyosy: Connecting,103
Ellen Joe,Zenless Zone Zero,504
Nezuko Kamado,Demon Slayer: Kimetsu no Yaiba,3795
Yuri Honjou,High-Rise Invasion,34
Ginko,Mushishi,47
Shizuka Hiratsuka,My Teen Romantic Comedy SNAFU OVA,31
Kouhei Imamura,Grand Blue,9
Ashito Aoi,Ao Ashi,34
Accelerator,A Certain Scientific Railgun S,94
Miyano Yoshikazu,Sasaki and Miyano,132
Shinichi Izumi,Parasyte -the maxim-,77
Darkness,To Love Ru: Darkness 2nd,8
Ganta Igarashi,Deadman Wonderland,13
Souichi Tsujii,Junji Ito Collection,28
Pecorine,Princess Connect! Re: Dive,32
Lux Arcadia,Undefeated Bahamut Chronicle,4
Hanamaru Kunikida,Love Live! Sunshine!!,12
Kei Shirogane,Kaguya-sama: Love Is War,39
Ruby Kurosawa,Love Live! Sunshine!!,17
Niki Shiina,Ensemble Stars!!,13
Yukino Yukinoshita,My Teen Romantic Comedy SNAFU,372
Ranma Saotome,Ranma ½,102
Mika Kagehira,Ensemble Stars!,59
Bayonetta,Bayonetta: Bloody Fate,125
Tsukasa Yuzaki,Tonikaku Kawaii,215
Yujiro Hanma,Baki the Grappler,101
Marika Tachibana,Nisekoi,11
Jimihen,Bocchi the Rock!,8
Ryuujirou Kotobuki,Grand Blue,4
Aina Yoshiwara,Grand Blue,3
Hanamichi Sakuragi,Slam Dunk,69
Ryousuke's FC RX7,Initial D,29
Nowa Sugaya,My Dress-Up Darling,14
Issei Hyoudou,High School DxD,92
Kazuki Kazami,The Fruit of Grisaia,15
Lilith Asami,Trinity Seven,9
Maho Nishizumi,Girls und Panzer,13
Nonna,Girls und Panzer,7
Hana Uzaki,Uzaki-chan Wants to Hang Out!,102
Satsuki Kiryuuin,Kill La Kill,59
Harumi Takeda,My Senpai is Annoying,18
Rikka Takarada,SSSS.Gridman,53
Katyusha,Girls und Panzer,24
Mami Nanami,"Kanojo, Okarishimasu",37
Iori Kitahara,Grand Blue,28
Meidri,Ishuzoku Reviewers,11
Chitoge Kirisaki,Nisekoi,159
Ryuuko Matoi,Kill La Kill,305
Rei Hino,Sailor Moon,23
Raoul,Pokémon: Black & White: Rival Destinies,1
Norihito Kurama,Inazuma Eleven GO,1
Hino-Kagu-Tsuchi,Yu-Gi-Oh! Duel Monsters,1
Ibara Obami,Kakegurui XX,1
Sara Kannazuki,B.B. Fish,0
Toki Kuwata,Slam Dunk,1
Tomoka Tenkuubashi,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",1
Minka,Origin: Spirits of the Past,1
Elise,Dead or Alive Xtreme Venus Vacation,1
Pariston Hill,Hunter x Hunter (2011),7
Lee Min-Sung,Solo Leveling,4
Female Kris,Fire Emblem: New Mystery of the Emblem,1
John Silver,Takarajima,2
Searcheye,Mahoujin Guru Guru (2017),0
Kyubey,Puella Magi Madoka Magica,41
Ayame Fujieda,Sakura Wars TV,0
Yuri Zahard,Tower of God,64
Rinko,Oreimo,0
Droite,Tales of Vesperia,1
Rainer,Pokémon,1
Kyouka Fujibayashi,The Irregular at Magic High School,3
Lector,Fairy Tail,1
Ion,Game of Dice,1
Akiko Tachibana,Ani Tore! EX,1
Roddy,One Piece,1
Theodore,Elsword,1
Tsukuyomi,We Rent Tsukumogami,0
Shakti,Carole & Tuesday,0
Kolulu,Granblue Fantasy,1
Hyoma Chigiri,Blue Lock,229
Tweedledee,Mardock Scramble: The Second Combustion,1
Deluxe Fighter,Himitsukessha Taka no Tsume,0
Emma Sano,Tokyo Revengers,44
Medusa Gorgon,Soul Eater,23
F,Star Wars: Visions,15
Daumas,Dog Days,0
Hideki Ide,Death Note,1
A,Hiragana Danshi,1
Ledyba,Pokémon: The Legend of Thunder!,1
Tsubaki Aoyagi,D4DJ First Mix,12
Petasos,Sailor Moon,1
Markus,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",1
Cervantes,Giant Robo,0
Hooded Seal,Heaven's Design Team,1
Kido Takeshi,Yakuza 4,1
Grings Kodai,Pokémon: Zoroark: Master of Illusions,1
Itaru Shiodome,Nagi no Asukara,1
Ro,Doraemon: Nobita at the Birth of Japan,1
Neneko Isurugi,World's End Harem,1
Guardian Dredscythe,Yu-Gi-Oh! Duel Monsters,1
Galina,Honkai Impact 3rd,1
Itsue Aasu,Puni Puni Poemy,1
Kuon Tsuchimikado,Granbelm,1
Toshiyuki Ohta,Hajime no Ippo: The Fighting!,0
Aleida,The Girl Who Leapt Through Space Picture Drama,0
Aira Shiratori,Ensemble Stars!!,10
Shukuro Tsukishima,Bleach,6
Victory,Edens Zero,1
Tensai Ikkyu,Nanana's Buried Treasure,1
Mika Yamaka,Haikyuu!!: Riku vs. Kuu,2
Bell Wing,Mardock Scramble: The Second Combustion,0
Tokai Teio,Uma Musume: Pretty Derby,100
Raiha Tsuge,Shinobi no Ittoki,1
Seth Parallels,Cyborg 009 vs Devilman,0
Rapidash,Pokémon,3
Sara Grace,Eden,1
Heath Grice,Black Clover,1
Mimiko,Saint Seiya: The Hades Chapter - Inferno,0
Hyouei Sasaki,Mononoke,1
Yusuke Oda,Hajime no Ippo: The Fighting!,0
MG42,Girls' Frontline,2
Flail,Fire Force,1
Wolverine's Father,Bonobono (2016),1
Doran,Tales of Zestiria: The X (2017),0
Eis Shenron,Dragon Ball GT,1
Chizuru Aizawa,Ai Yori Aoshi Enishi,0
Kurt Hartman,Doraemon: Nobita no Himitsu Dougu Museum,1
Hige,Mobile Suit Gundam 08th MS Team,0
Phil,The Promised Neverland,17
Luxury Ball,Pokémon Advanced,1
Bob,Naked Wolves,1
Yusuke,GeGeGe no Kitarou (2018),0
Bond Forger,Spy x Family,141
Ritsu Sakuma,Ensemble Stars!,35
Silica,Sword Art Online,20
Methiop,Dragon Ball Super,1
Shion,That Time I Got Reincarnated as a Slime,226
Liu Zhigang,Solo Leveling,7
Shuren,Bleach Movie 4: Hell Verse,1
Erika Shibasaki,Tsuredure Children,1
Hajrudin,One Piece,1
Uvogin,Hunter x Hunter,27
Emi,Hulaing Babies,1
Dream Spirit,Urusei Yatsura,0
Fourtricks,One Piece,1
Suiko Minahoshi,Boogiepop and Others,1
Ichinose Uruha,Virtual eSports Project,23
Kazumi Sanada,Detective Conan,1
Wormgildy,Gonna be the Twin-Tail!!,1
Kyoko,River City Girls,12
Yae Miko,Genshin Impact,1105
Threo,Granblue Fantasy,1
Meia,GATE,1
Sparkman,Megaton-kyuu Musashi,1
Fon,Mouse,0
Ai Yamabuki,Date a Live,1
Furio Tigre,Ace Attorney Season 2,1
Ran,Texhnolyze,3
Bort,Land of the Lustrous,18
Female Shinja,Shikizakura,0
Severin,Princess Resurrection,0
Red-Eyes Darkness Metal Dragon,Yu-Gi-Oh! GX,1
Kazumasa Oda,Captain Tsubasa (2018),1
