character,series,wishlist
Shirou Kotomine,Fate/Apocrypha,7
Saber,Fate/Prototype,15
Gilles de Rais,Fate/Zero,1
Natalia Kaminski,Fate/Zero 2,1
Issei Ryuudou,Fate/stay night,1
Mimi Katsura,Fate/kaleid liner PRISMA ILLYA,1
Hinako Akuta,Fate/Grand Order,1
Goredolf Musik,Fate/Grand Order,1
Mephistopheles,Fate/Grand Order,1
Lancelot,Fate/Grand Order,4
Calamity Jane,Fate/Grand Order,2
Aoi Tohsaka,Fate/Zero,1
Justeaze Lizrich von Einzbern,Fate/Apocrypha,1
Souichirou Kuzuki,Fate/stay night,1
Geronimo,Fate/Grand Order,1
Taiga Fujimura,Fate/stay night,1
Ayako Mitsuzuri,Fate/stay night,1
Saitou Hajime,Fate/Grand Order,1
Oda Nobunaga,Fate/KOHA-ACE,52
Caren C. Hortensia,Fate/Grand Order,9
Serpo Alien,Dandadan,2
Kurome,Akame ga Kill!,15
Daughter,Kaiju No. 8,0
Reggie Avan,Metallic Rouge,0
Soul Eater,Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,1
Maka Albarn,Soul Eater,234
Ms. NewBabel,Reverse: 1999,1
Jeanne,The Case Study of Vanitas,222
Head Doctor,Solo Leveling,1
Azula,Avatar: The Last Airbender,253
X,Reverse: 1999,26
Gwen-B,Kowloon Generic Romance,1
Takopi,Takopi’s Original Sin,141
Konomi Okonogi,Kaiju No. 8,1
Pollux,Fate/Grand Order,1
Kaoruko Tenkawa,Gushing over Magical Girls,11
Maqi,Wuthering Waves,0
Mina Ashiro,Kaiju No. 8,140
Gina Chamber,Undead Unluck,14
Kobo Kanaeru,Hololive ID,92
Sousei Akabane,Go! Go! Loser Ranger!,1
Lefiya Viridis,Wistoria: Wand and Sword,0
Nemesis Voidpiercer,Tower of Fantasy,6
Honami Nishikawa,The iDOLM@STER: Cinderella Girls,1
Tenebria,Epic Seven,7
Ras Elclare,Epic Seven,5
Boudica,Fate/Grand Order,8
Koyanskaya of Light,Fate/Grand Order,24
Mao Arimura,Gakuen iDOLM@STER,6
Iseria Arisphodel,Epic Seven,7
Nyx Ulric,Kingsglaive: Final Fantasy XV,7
Yao Fueifuei,The iDOLM@STER: Cinderella Girls,1
Gamma,The Eminence in Shadow,141
Hebinuma's Secretary,Kowloon Generic Romance,0
Ilsa Owen-Gwynn,Jewelry Hearts Academia -We will wing wonder world-,0
Kotori Itsuka,Date a Live,80
